TEXT,start,end,sentiment,confidence
"Just outside the Belgian port of antwerp, armed police are about to swoop on a warehouse.",62965,69062,NEUTRAL,0.610122442
"Inside, they find shipping containers full of tools used by a sophisticated cocaine trafficking cartel.",73012,79902,NEGATIVE,0.566260338
"A torture cell, complete with dentist chair and sound installation.",80082,84762,NEGATIVE,0.770427644
"And a sash, a fake police uniform.",84912,87662,NEGATIVE,0.722038329
"If you see that the criminal organizations are putting in place containers with torturing, if you see that they are using uniforms in order to do their this is, of course, frightened.",89587,101312,NEGATIVE,0.838671625
Antwerp has become a key hub for importing cocaine from south America into Europe.,102187,107912,NEGATIVE,0.49292329
"In recent years, there have been record and increasing seizures of cocaine at the port.",108637,113900,NEUTRAL,0.602924526
This one was a container with bananas coming from Colombia.,115312,119352,NEUTRAL,0.88884002
You can see here a darker moss when we check that out.,119457,122962,NEUTRAL,0.844548762
"Two tons of cocaine shipping containers are the arteries of most international trade, legal and illegal.",123025,133412,NEGATIVE,0.544031858
"The lowcost, high volume advantages they give legitimate industry are equally valued by the most lucrative form of global criminal business drug trafficking.",134212,144737,POSITIVE,0.541780531
Here we have a little container that was found inside of a big container.,145987,150162,NEUTRAL,0.85810858
"It appeared to be full of drugs, so not even hidden between other goods, just a whole small container filled with eleven tons of cocaine.",150237,159062,NEGATIVE,0.724515438
"In 2021, over 100 tons of cocaine were seized in Belgium.",160462,165702,NEGATIVE,0.599850237
"That's over onefifth more than the Netherlands, which seized the second highest amount in the European union.",165807,172037,NEUTRAL,0.688630044
Law enforcement agencies estimate they only catch around 10% of the total cocaine smuggled through Antwerp.,174112,181262,NEUTRAL,0.611281216
Their business model is to ship massively in as many containers as possible.,181687,187492,NEUTRAL,0.75825125
"And then they know, okay, we're going to lose the 10% or 20%.",187615,192050,NEGATIVE,0.589538395
Few industries could survive such a loss of product.,196237,199327,NEGATIVE,0.813110948
So why do cocaine traffickers risk using Antwerp for repeat business?,199495,203750,NEGATIVE,0.710292935
"Because they, like legitimate companies, can rely on the infrastructure and logistics that Europe's second biggest and furthest inland seaport offers.",204187,213437,NEUTRAL,0.502931654
"A huge variety of global goods pass quickly through antwerp and are distributed across the continent fast, whether that product is coffee, counterfeit, or cocaine.",214237,225512,NEUTRAL,0.684036851
Illicit markets operate in many of the same ways as illicit markets.,226687,231822,NEGATIVE,0.737780988
So the same ports that are being used to smuggle drugs are also the ones that we're moving everything else in.,231942,238400,NEGATIVE,0.495399743
"On average, 12 million containers move in and out of Antwerp each year, and only around 2% of containers are physically checked by the authorities.",238987,248892,NEUTRAL,0.622691214
"If you are a trafficker, the opportunities for hiding drugs within this sheer volume of trade are ample and fruitful.",249027,256347,NEUTRAL,0.610699892
"Bananas are a very popular way to smuggle cocaine from Latin America to Europe, because they are one of the main products that Latin America countries export to Europe.",256542,266712,NEUTRAL,0.670555472
"And because bananas are perishable goods, so the pressure is on to rush them through customs.",266787,272012,NEUTRAL,0.600953996
The traffickers decide to piggyback off this efficiency and to play the numbers game.,272437,279292,NEUTRAL,0.514621198
A port of an's work makes its money because it can get a container off the ship and onto transport to its next destination in an extremely short time.,279415,291202,POSITIVE,0.594622195
It's simply not possible for them to search millions of containers.,291295,295227,NEGATIVE,0.847775221
And this is what the traffickers are depending on and have traditional depended on.,295332,301400,NEGATIVE,0.556307614
"So whether you're importing cocaine, methamphetamines, or counterfeit medicine, the port of Antwerp is an excellent hub for distributing across Europe.",308437,317387,POSITIVE,0.615799069
This makes it especially attractive for cocaine traffickers because consumption has increased in Europe over the last decade.,319462,326912,NEUTRAL,0.449097216
"Crucially, it's now a more lucrative market than North America.",328012,332162,POSITIVE,0.68222934
"Europe became a business nobrainer for cocaine traffickers because, one, the price is higher a kilo of cocaine in Europe than in the United States.",333862,343432,NEGATIVE,0.697558999
"Two, much less risk of interdiction, and three, much less risk of extradition.",343585,350472,NEUTRAL,0.675358295
"So more rewards, less risk.",350592,353387,POSITIVE,0.578355193
Many European mafias sought to exploit this profitable opportunity further by controlling more of the supply chain.,354487,361712,NEUTRAL,0.718932807
Some carved out a reputation for both reliability and extreme violence.,362212,367722,NEGATIVE,0.746565044
"Those from the Balkan countries such as Albania, Croatia, and Bosnia in the 1990s and Balkans, endured years of war and conflict.",367917,381237,NEGATIVE,0.736522496
The destruction of economies pushed some towards crime.,381312,385347,NEGATIVE,0.815123558
The Balkan mafias have taken the knowledge of violence and toleration for violence from the Balkan war.,385542,392525,NEGATIVE,0.800409615
"They had access to weapons, they had language skills.",393787,397487,NEUTRAL,0.592645705
Criminal groups from the western Balkans have proved to be very entrepreneurial.,399487,404087,NEUTRAL,0.635099888
"They developed some skills that helped them going from heroin, cannabis cultivation, and the human smuggling and tobacco smuggling to a more lucrative business, that is cocaine trafficking.",405862,419087,POSITIVE,0.649957001
"Balkan traffickers, together with other European mafias, have proved resourceful importers, expanding shipment routes between south America and Europe.",420487,430562,NEUTRAL,0.744389951
"Previously, cocaine would mainly travel from Colombia and enter Europe through its southern ports.",431512,437652,NEUTRAL,0.698237538
"Balkan mafia groups traveled upstream and like a multinational with its subsidiaries, have built connections all over Latin America, including in new export countries such as Ecuador, and also smuggled product using new routes through northern European ports.",437832,455022,NEGATIVE,0.497638345
These sophisticated transnational crime federations have boosted their profits by taking control of the shipping from Latin America to Europe.,455217,464382,NEGATIVE,0.531748831
"In other words, they now control the whole supply chain.",464547,468402,NEUTRAL,0.565129817
The main profit margin in the cocaine industry is not in the retail sale.,468582,474387,NEGATIVE,0.509882152
It's not in the production.,474462,476337,NEUTRAL,0.565055609
It is in the transport.,476412,478302,NEUTRAL,0.702299416
"The markups for production, the profits are about 150%.",478482,483800,NEUTRAL,0.822380543
The retail markup is about 300% the transport markup.,484762,490707,NEUTRAL,0.788168609
"Depending on where you go to Europe, it is 1500%.",490797,496100,NEUTRAL,0.885601223
"Unlike normal businesses, cocaine traffickers can deploy extreme violence to ensure product delivery.",499387,506112,NEGATIVE,0.851818383
"And they can also employ corruption, as shown by the Albanian kingpin, Britain Regeti.",506262,512592,NEGATIVE,0.791903079
Britain Rigetti is without any doubt the successful model of the Balkan criminals cocaine emissaries in Latin America.,512727,519852,NEUTRAL,0.665540695
It is believed that rejoir arts in Ecuador in 2011 after he escaped a prison in Belgium.,519957,526272,NEUTRAL,0.910134733
Britain Ruzepi was imprisoned in Ecuador in 2014.,526467,530547,NEUTRAL,0.642125487
But that didn't stop him running a highly profitable cocaine empire.,530667,534737,NEUTRAL,0.541521013
"His enormous profits meant he could afford to buy off officials not only in Latin America, but also in wealthy European countries.",535612,544412,NEUTRAL,0.556231081
Journalist Arton HodgeR has interviewed Rajepi.,545062,549137,NEUTRAL,0.922407687
Landings in Antwerpa cost the organization 20% to 24% of their cargo.,553462,559482,NEGATIVE,0.6451177
"So if they shipped 100 Ecuador, they would pay bribes, 20 to 24 equivalent in cash.",559647,569600,NEUTRAL,0.622905254
Vast profits have allowed traffickers to increase the budget they have for bribery.,572887,578007,NEGATIVE,0.662332654
The kind of corruption of officials traditionally associated with poorer countries is becoming increasingly common in Europe.,578172,585962,NEGATIVE,0.851241887
"If you're trafficking cocaine and you're making these quite remarkable levels of profit, then that just becomes a cost of sales.",586762,598175,NEGATIVE,0.576749027
"There was a hope that with the possibility of countries from the Western Balkans joining the European Union, the Western Balkans would come to look more like the EU.",599512,608787,NEUTRAL,0.781523526
"What we see is that in some countries of the EU, they're starting to look more like the Western Balkans.",608937,614087,NEUTRAL,0.612256289
"Back in Belgium, this is a problem the head of customs freely admits to.",617812,622400,NEGATIVE,0.667234242
Traffickers have bribed port officials to turn a blind eye to containers full of cocaine arriving at Antwerp.,622912,629612,NEGATIVE,0.598927915
Today.,630187,630592,NEUTRAL,0.710625231
I have two people who are in jail because they supported the criminal organizations.,630640,635772,NEGATIVE,0.934448719
"You help them say, this container, you don't put it on this part of the terminal, you put it on another place, you can earn â‚¬60,000.",635892,646122,NEUTRAL,0.756936491
It's easy money.,646167,647450,NEUTRAL,0.497371078
And there are worrying signs in this corner of Europe that corruption extends beyond port workers right up to the top.,652687,659825,NEGATIVE,0.911748648
Remember this container full of eleven tons of cocaine with a street value of up to threequarters of a billion euros.,661087,668312,NEUTRAL,0.602835238
"The seizure led to the arrest of the former head of Antwerp's antinarcotics section, three police officers and a lawyer.",668737,676562,NEUTRAL,0.729433537
Big corporations often lobby politicians.,678712,681887,NEUTRAL,0.513811946
"Traffickers deploy a different kind of pressure group, because if a bribe isn't an option, the bullet is.",682237,689000,NEGATIVE,0.604711652
The mayor of Antwerp needed 24/7 police protection after speaking out against drug mafias.,689362,696437,NEUTRAL,0.608332217
They have the money to influence politics and so on.,696787,699982,NEUTRAL,0.553682864
So what is the worrying part for me in this war on drugs is what the cocaine has done in South America.,700060,708162,NEGATIVE,0.746485531
One should not be naive.,708237,709662,NEUTRAL,0.502886534
What is possible in South America is also possible in Europe.,709737,714552,POSITIVE,0.630160093
"Despite Belgian police launching their largest ever operation against organized crime in 2021, the head of customs has little faith the traffickers can be stopped.",714732,724917,NEGATIVE,0.583573699
"At present, the effect on the criminal organization remains minor.",724977,731247,NEUTRAL,0.789346278
"We seize a lot, but the prices on the marketplace, they remain the same.",731442,736850,NEUTRAL,0.730451047
So what can be done to halt this vast illegal trade coming through Belgium?,742462,747212,NEGATIVE,0.578888059
Those working in enforcement argue more and better resources are essential for taking on the traffickers.,747712,754112,NEUTRAL,0.688569903
Belgian customs officers want the ability to scan 100% of containers coming into the country.,754537,760550,NEUTRAL,0.744232774
"If not enough means are put available to the law enforcement agencies here, then within ten years we will end up having Narco state in Antwerp.",762412,775187,NEGATIVE,0.501624346
Others argue a more coordinated international responses needed to the global phenomenon of illicit trafficking.,775687,782837,NEUTRAL,0.760399699
This requires good transnational cooperation.,783262,786962,POSITIVE,0.632980287
"At the moment, the criminals cooperate much more effectively than the police.",787387,791612,NEUTRAL,0.586446226
But curbing the power of the traffickers will take more than improved enforcement.,792262,797022,NEUTRAL,0.598762035
Globalization has led to a quadrupling of the number of containers over the last 20 years.,797217,802432,NEUTRAL,0.662840903
"Across the world, opportunities for hiding and trading criminal cargoes are endless.",802510,809012,NEUTRAL,0.537236631
"If we weren't one thing about the Socalled war on drugs, it is that international criminals have an unlimited capacity for adaptation to tackle drug trafficking, a rethink is needed about what should be considered criminal.",809737,828792,NEUTRAL,0.489773989
That will require a radical change of strategy by governments towards focusing on medical solutions to drug use and legalizing production and distribution in order to break the gangster's grip over the drug business.,828927,842167,NEUTRAL,0.685277343
The great hope is that you take away fast financial resources from some of the worst people on earth.,842365,850862,NEGATIVE,0.738570392
War on drugs cannot be won as a war.,851212,855950,NEGATIVE,0.747086465
"Hello, I'm Tom Spandage, deputy editor at The Economist.",865762,869067,NEUTRAL,0.819045961
"If you'd like to learn more about this topic, click on the link opposite.",869127,872457,NEUTRAL,0.806285441
Thanks for watching and don't forget to subscribe.,872547,874512,POSITIVE,0.961841881
Working hard for something we don't care about is called stress.,612,4332,NEGATIVE,0.657930613
Working hard for something we love is called passion.,4497,7787,POSITIVE,0.910453975
I think one of the mistakes that people make is they think purpose comes from their job.,8512,12862,NEGATIVE,0.899387598
"I've been a whatever for so many years, and when I lose my job or I retire, I now don't have a sense of purpose because I so closely associated my selfworth with the job that I did.",12925,24607,NEGATIVE,0.846730292
I knew what my job was.,24685,26047,NEUTRAL,0.597373605
I had a sense of purpose.,26080,27372,NEUTRAL,0.595111549
"And one wonders if those things are conflated, right?",27492,30877,NEUTRAL,0.609192371
"Which is, I had a sense of purpose for my job, and then when I didn't have the job, all of a sudden I woke up in the morning and didn't know what to do, which is, the purpose is not your MoS.",30970,37932,NEGATIVE,0.597673059
Your purpose is not your sogunner your purpose is not the job that you wake up to do every day.,38022,42757,NEGATIVE,0.729178607
Your purpose is something bigger.,42835,44217,POSITIVE,0.537477851
I have five little rules that you can follow as you find your spark and bring your spark to life.,44277,50152,POSITIVE,0.595761001
The first is to go after the things that you want.,50320,54052,NEUTRAL,0.673867285
Let me tell you a story.,54220,55550,NEUTRAL,0.854989648
"So a friend of mine and I, we went for a run in Central Park, the roadrunners organization.",56062,61562,NEUTRAL,0.626445174
"On the weekends, they host races.",62362,64647,NEUTRAL,0.892249823
And it's very common.,64842,65917,NEUTRAL,0.624999642
"At the end of the race, they'll have a sponsor who will give away something apples or bagels or something.",65965,71182,NEUTRAL,0.789604843
"And on this particular day, when we got to the end of the run, there were some free bagels, and they had picnic tables set up.",71335,79387,POSITIVE,0.612560868
And on one side was a group of volunteers.,79450,82002,NEUTRAL,0.832004309
"On the table were boxes of bagels, and on the other side was a long line of runners waiting to get their free bagel.",82107,89292,NEUTRAL,0.776903033
"So I said to my friend, let's get a bagel.",89427,91722,NEUTRAL,0.571411371
"And he looked at me and said, that line is too long.",91842,95107,NEGATIVE,0.668298066
"And I said, free bagel.",95260,98162,NEUTRAL,0.53033644
"And he said, I don't want to wait in line.",98737,101947,NEUTRAL,0.561325371
"And I was like, free bagel.",102130,105477,POSITIVE,0.544448256
"And he says, no, it's too long.",105657,108202,NEGATIVE,0.564251423
And that's when I realized that there's two ways to see the world.,108370,112025,POSITIVE,0.568377912
"Some people see the thing that they want, and some people see the thing that prevents them from getting the thing that they want.",112387,119677,NEUTRAL,0.496632397
I could only see the bagels.,119845,121812,NEUTRAL,0.612719893
He could only see the line.,121962,123725,NEUTRAL,0.63855201
Because the rule is you can go after whatever you want.,124162,127552,NEUTRAL,0.792185783
You just cannot deny anyone else to go after whatever they want.,127645,132217,NEUTRAL,0.702872872
You don't have to do it the way everybody else has done it.,132340,134917,NEUTRAL,0.587753773
You can do it your way.,135040,136462,NEUTRAL,0.511152029
You can break the rules.,136600,138057,NEUTRAL,0.600417912
You just can't get in the way of somebody else getting what they want.,138147,141562,NEUTRAL,0.592762411
Rule number two.,141700,143000,NEUTRAL,0.759055138
"In the 18th century, there was something that spread across Europe and eventually made its way to America called puerto fever, also known as the black death of childbed.",143437,155037,NEGATIVE,0.495595783
"Basically, what was happening is women were giving birth and they would die within 48 hours after giving birth.",155187,163767,NEGATIVE,0.854756355
"This black death of childbirth was the ravage of Europe, and it got worse and worse and worse over the course of over a century.",163902,172902,NEGATIVE,0.967770338
And these doctors and men of science wanted to study and try and find the reason for this black death of childbirth.,173007,180252,NEUTRAL,0.621605814
"And so they got to work studying, and they would study the corpses of the women who had died, and in the morning they would conduct autopsies, and then in the afternoon, they would go and deliver babies and finish their rounds.",180282,192597,NEUTRAL,0.563734651
And it wasn't until somewhere in the mid 18 hundreds that Oliver Wendell Holmes realized that all of these doctors who were conducting autopsies in the morning weren't washing their hands before they delivered babies in the afternoon.,192717,207537,NEUTRAL,0.513405025
"And he pointed it out and said, guys, you're the problem.",207687,211850,NEGATIVE,0.749152243
"And they ignored him and called him crazy for 30 years until finally somebody realized that if they simply washed their hands, it would go away.",212737,225352,NEGATIVE,0.83858484
And that's exactly what happened when they started sterilizing their instruments and washing their hands.,225520,230632,NEGATIVE,0.539821923
The Black death of childbed disappeared.,230710,233892,NEGATIVE,0.641734779
The lesson here is sometimes you're the problem is take accountability for your actions.,234027,241242,NEGATIVE,0.485894501
You can take all the credit in the world for the things that you do right as long as you also take responsibility for the things you do wrong.,241377,249667,NEUTRAL,0.569947541
It must be a balanced equation.,249715,251742,NEUTRAL,0.786812901
You don't get it one way and not the other.,251877,254242,NEGATIVE,0.600472152
You get to take credit when you also take accountability.,254365,258402,NEUTRAL,0.73590672
Lesson three take care of each other.,258582,261500,NEUTRAL,0.733224988
The United States Navy Seals are perhaps the most elite warriors in the world.,261937,268400,POSITIVE,0.950007498
"And one of the Seals was asked, who makes it through the selection process?",268987,275692,NEUTRAL,0.880997241
Who is able to become a Seal?,275815,279222,NEUTRAL,0.8557024
"And his answer was, I can't tell you the kind of person that becomes a Seal.",279342,284802,NEUTRAL,0.494414717
"I can't tell you the kind of person that makes it through buds, but I can tell you the kind of people who don't become Seals, he says.",284832,292747,NEUTRAL,0.654902279
"The guys that show up with huge bulging muscles covered in tattoos, who want to prove to the world how tough they are, none of them make it through, he said.",292780,302827,NEGATIVE,0.518682659
"The preening leaders who like to delegate all their responsibility and never do anything themselves, none of them make it through, he says.",302845,310897,NEGATIVE,0.715246081
Some of the guys that make it through are skinny and scrawny.,310930,314352,NEUTRAL,0.538669586
"He said, some of the guys that make it through, you will see them shivering out of fear.",314457,319862,NEGATIVE,0.4860695
He says.,320212,320842,NEUTRAL,0.652725875
"However, all the guys that make it through when they find themselves physically spent, emotionally spent, when they have nothing left to give physically or emotionally, somehow, some way, they are able to find the energy to dig down deep inside themselves, to find the energy to help the guy next to them, they become Seals, he said.",320890,347527,NEUTRAL,0.731804788
You want to be an elite warrior.,347695,349272,NEUTRAL,0.751017153
It's not about how tough you are.,349317,351142,NEUTRAL,0.655032456
It's not about how smart you are.,351265,353197,NEUTRAL,0.570085943
It's not about how fast you are.,353305,355372,NEUTRAL,0.722926021
"If you want to be an elite warrior, you better get really, really good at helping the person to the left of you and helping the person to the right of you, because that's how people advance in the world.",355480,366532,POSITIVE,0.67365694
The world is too dangerous and the world is too difficult for you to think that you can do these things alone.,366685,371622,NEGATIVE,0.94741869
"If you find your spark, I commend you.",371742,373912,POSITIVE,0.910943985
"Now, who are you going to ask for help and when are you going to accept help?",373975,377122,NEUTRAL,0.749812722
When it's offered.,377155,378102,NEUTRAL,0.716430306
Learn that skill.,378207,379632,NEUTRAL,0.643770933
Learn by practicing helping each other.,379797,382477,POSITIVE,0.592836022
It'll be the single most valuable thing you ever learn in your entire life.,382645,387007,POSITIVE,0.95669663
To accept help when it's offered and to ask for it when you know that you can't do it.,387160,391507,NEUTRAL,0.614073336
"The amazing thing is, when you learn to ask for help, you'll discover that there are people all around you who've always wanted to help you.",391660,398122,POSITIVE,0.942482829
They just didn't think you needed it because you kept pretending that you had everything under control.,398155,402427,NEGATIVE,0.555825293
"And the minute you say, I don't know what I'm doing.",402595,405712,NEGATIVE,0.542353749
I'm stuck.,405775,406602,NEGATIVE,0.799593925
I'm scared.,406707,407787,NEGATIVE,0.78799367
"I don't think I can do this, you will find that lots of people who love you will rush in and take care of you.",407937,415297,NEUTRAL,0.473590553
But that will only happen if you learn to take care of them first.,415480,418942,NEUTRAL,0.620679736
Lesson four.,419140,420352,NEUTRAL,0.769301355
Nelson Mandela is a particularly special case study in the leadership world because he is universally regarded as a great leader.,420520,430662,POSITIVE,0.902478695
"You can take other personalities, and depending on the nation you go to, we have different opinions about other personalities.",430812,436512,NEUTRAL,0.819656253
But Nelson Mandela across the world is universally regarded as a great leader.,436587,441567,POSITIVE,0.798577726
"And he was asked one day, how did you learn to be a great leader?",441702,446162,NEUTRAL,0.649654329
"And he responded that he would go with his father to tribal meetings, and he remembers two things when his father would meet with other elders.",446737,456237,NEUTRAL,0.924857259
"One, they would always sit in a circle, and two, his father was always the last to speak.",456387,465172,NEUTRAL,0.812214494
You will be told your whole life that you need to learn to listen.,465355,468562,NEUTRAL,0.724753022
I would say that you need to learn to be the last to speak.,468700,472042,NEUTRAL,0.724446774
I see it in boardrooms every day of the week.,472165,474532,NEUTRAL,0.728725672
"Even people who consider themselves good leaders, who may actually be decent leaders, will walk into a room and say, here's the problem.",474610,480817,NEGATIVE,0.495524526
"Here's what I think, but I'm interested in your opinion.",480865,482772,NEUTRAL,0.600392759
Let's go around the room.,482817,483787,NEUTRAL,0.818266273
It's too late.,483850,484992,NEGATIVE,0.673139215
The skill to hold your opinions to yourself until everyone has spoken does two things.,485127,490537,NEUTRAL,0.83121711
"One, it gives everybody else the feeling that they have been heard.",490675,494975,NEUTRAL,0.730264366
It gives everyone else the ability to feel that they have contributed.,495637,500127,POSITIVE,0.599612176
"And two, you get the benefit of hearing what everybody else has to think before you render your opinion to keep your opinions to yourself.",500307,507502,NEUTRAL,0.690827429
"If you agree with somebody, don't nod yes.",507595,510667,NEUTRAL,0.700873733
If you disagree with somebody.,510865,512557,NEGATIVE,0.490458548
Don't nod.,512710,513447,NEUTRAL,0.620610774
No.,513492,514012,NEUTRAL,0.493618667
Simply sit there.,514150,515167,NEUTRAL,0.683562756
Take it all in.,515215,515902,NEUTRAL,0.745615184
And the only thing you're allowed to do is ask questions so that you can understand what they mean and why they have the opinion that they have.,515920,523657,NEUTRAL,0.81212014
"You must understand from where they are speaking why they have the opinion they have, not just what they are saying.",523735,532100,NEUTRAL,0.776459515
"One afternoon, I went to buy a cup of coffee, and there was a barista by the name of Noah who was serving me.",533512,538627,NEUTRAL,0.811267495
Noah was fantastic.,538720,540747,POSITIVE,0.944792092
"He was friendly and fun, and he was engaging with me.",540867,544702,POSITIVE,0.966146767
"And I had so much fun buying a cup of coffee, I actually think I gave 100% tip, right?",544720,549292,POSITIVE,0.976478219
He was wonderful.,549415,550587,POSITIVE,0.974473059
"So, as is my nature, I asked Noah, do you like your job?",550737,554842,NEUTRAL,0.85733062
"And without skipping a beat, Noah says, I love my job.",554965,558577,POSITIVE,0.944071531
And so I followed up.,558745,559927,NEUTRAL,0.768739343
"I said, what is it that the Four Seasons is doing that would make you say to me, I love my job?",559945,566317,POSITIVE,0.50909543
"And without skipping a beat, Noah said, throughout the day, managers will walk past me and ask me how I'm doing, if there's anything that I need to do my job better.",566440,575572,NEUTRAL,0.633102775
"He said, not just my manager, any manager.",575680,579147,NEUTRAL,0.768707037
And then he said something magical.,579342,581247,POSITIVE,0.501991987
"He says, I also work at Caesar's Palace, and at Caesars Palace, the managers are trying to make sure we're doing everything right.",581442,589147,NEUTRAL,0.627603233
They catch us when we do things wrong.,589180,591547,NEGATIVE,0.808011353
"He says, When I go to work there, I like to keep my head under the radar and just get through the day so I can get my paycheck.",591730,598512,NEUTRAL,0.667042971
"He says, Here at the Four Seasons, I feel I can be myself.",598662,603350,NEUTRAL,0.498317152
So we in leadership are always criticizing the people.,603787,606382,NEGATIVE,0.838975072
"We're always saying, we got to get the right people on the bus.",606460,608647,NEUTRAL,0.725488365
I got to fill my team.,608680,610147,NEUTRAL,0.673253834
I got to get the right people.,610180,611167,NEUTRAL,0.624096572
"But the reality is, it's not the people, it's the leadership.",611215,614562,NEGATIVE,0.59083873
"If we create the right environment, we will get people like Noah.",614712,618852,POSITIVE,0.627447963
"At the Four Seasons, if we create the wrong environment, we will get people like Noah.",618957,624177,NEGATIVE,0.734450698
"At Caesar's Palace, there was a former undersecretary of defense who was invited to give a speech at a large conference, about 10 people.",624357,633247,NEUTRAL,0.826500475
And he was standing on the stage with his cup of coffee and a Styrofoam cup.,633355,638067,NEUTRAL,0.799787223
"And he took a sip of his coffee, and he smiled.",638127,640242,POSITIVE,0.755470812
"And he looked down at the coffee, and then he went off script, and he said, you know, last year I spoke at this exact same conference.",640302,648887,NEUTRAL,0.688929856
"Last year, I was still the undersecretary.",649237,651717,NEUTRAL,0.862694263
"And when I spoke here last year, they flew me here, business class.",651852,656077,NEUTRAL,0.830198586
"And when I arrived at the airport, there was somebody waiting for me to take me to my hotel and handed me a cup of coffee in a beautiful ceramic cup.",656245,666362,POSITIVE,0.882446587
"He says, I'm no longer the undersecretary.",666712,669057,NEUTRAL,0.764156401
"I flew here, coach.",669222,670662,NEUTRAL,0.839767814
"I took a taxi to my hotel, and I checked myself in.",670812,674032,NEUTRAL,0.856386244
"When I came down the lobby this morning, I took another taxi to this venue.",674185,678882,NEUTRAL,0.897151709
"And when I asked someone, do you have any coffee?",678972,681912,NEUTRAL,0.846418798
He pointed to the coffee machine in the corner.,681987,684252,NEUTRAL,0.878829777
And I poured myself a cup of coffee into this here Styrofoam cup.,684357,689442,NEUTRAL,0.840120554
"He says, the lesson is, the ceramic cup was never meant for me.",689577,694162,NEGATIVE,0.732328653
It was meant for the position I held.,694300,696887,NEUTRAL,0.839954257
I deserve a styrofoam cup.,697312,699957,NEUTRAL,0.458747149
"Remember this as you gain fame, as you gain fortune, as you gain position, and seniority people will treat you better, they will hold doors open for you.",700122,711847,POSITIVE,0.783639967
They will get you a cup of tea and coffee without you even asking.,711955,715252,NEUTRAL,0.681881905
None of that stuff is meant for you.,715420,717592,NEGATIVE,0.829285562
That stuff is meant for the position you hold.,717715,720367,NEUTRAL,0.806018829
It is meant for the level that you have achieved of leader or success or whatever you want to call it.,720565,726622,NEUTRAL,0.502687991
But you will always deserve a Styrofoam cup.,726730,731547,POSITIVE,0.504450917
Remember that lesson of humility and gratitude.,731667,734622,NEUTRAL,0.640203834
You can accept all the free stuff.,734667,736312,NEUTRAL,0.550305843
You can accept all the perks.,736375,738162,POSITIVE,0.705361545
Absolutely.,738312,738892,NEUTRAL,0.465044975
"You can enjoy them, but just be grateful for them and know that they're not for you.",739015,743947,POSITIVE,0.533164859
"And so I keep meeting these wonderful, fantastic, idealistic, hardworking, smart kids.",744130,749392,POSITIVE,0.986930609
They just graduated school.,749440,750742,NEUTRAL,0.780940473
They're in their entrylevel job.,750790,752257,NEGATIVE,0.492595464
"I sit down with them and I go, how's it going?",752335,754072,NEUTRAL,0.899646103
"They go, I think I'm going to quit.",754105,755847,NEGATIVE,0.559665799
"I'm like, why?",755967,757147,NEGATIVE,0.55450654
"They're like, I'm not making an impact.",757330,759747,NEGATIVE,0.739980161
"I'm like, You've been here eight months.",759867,761750,NEUTRAL,0.696356297
"It's as if they're standing at the foot of a mountain and they have this abstract concept called impact that they want to have in the world, which is the summit.",763912,771402,NEUTRAL,0.634596467
What they don't see is the mountain.,771507,772977,NEUTRAL,0.587377071
"I don't care if you go up the mountain quickly or slowly, but there's still a mountain.",773082,776532,NEUTRAL,0.562674284
And so what this young generation needs to learn is patience.,776697,780062,NEUTRAL,0.752928972
"That some things that really, really matter, like love or job fulfillment, joy, love of life, self confidence, a skill set, any of these things, all of these things take time.",780412,794450,NEUTRAL,0.550370693
"Sometimes you can expedite pieces of it, but the overall journey is arduous and long and difficult.",795262,803242,NEUTRAL,0.575634003
All you need to do is have the will and the desire to want to understand what drives and inspires you.,803440,808500,NEUTRAL,0.586578846
"Do you know, if you study people who are at the pinnacle of anything, you recognize that to get there, motivation was maybe 1% of the formula.",387,11517,NEUTRAL,0.734521687
"Maybe 1%, and I'll prove it to you.",11577,16550,NEUTRAL,0.726157784
"If you want to become a worldclass bodybuilder, say an IFBB pro.",16912,21275,NEUTRAL,0.711163461
"What that takes is you have to train twice a day, six days a week.",22612,27575,NEUTRAL,0.811773717
You have to have eight meals a day.,28012,30275,NEUTRAL,0.85251683
Your calorie intake is regimented.,30637,32997,NEUTRAL,0.752829432
Your meals are preplanned and precooked.,33117,35612,NEUTRAL,0.626614451
You don't eat according to taste.,36562,38892,NEGATIVE,0.548535168
You eat according to function.,38952,41075,NEUTRAL,0.843463421
"So my trainer, for instance, will eat and go, what are you eating?",42262,46262,NEUTRAL,0.931984186
"And he's having the most he'll have chicken that was boiled without salt, and he'll have like half a kilo of it.",46687,53587,NEUTRAL,0.826653063
What are you doing?,53725,54922,NEUTRAL,0.824181139
"He says, I'm taking in protein.",55105,56502,NEUTRAL,0.867071152
He doesn't say I'm eating.,56532,57477,NEUTRAL,0.716293633
"He says, I'm taking in protein.",57507,59667,NEUTRAL,0.867071152
"For him, it's functional.",59802,60927,NEUTRAL,0.584744871
It's not taste based.,60957,62300,NEUTRAL,0.592644691
"Then you would probably have to train for a minimum, and this is if you are a genetic phenomenon, you'd have to train for a minimum of ten years before you could get on a stage and compete at an average level with an average global bodybuilder.",64687,82392,NEUTRAL,0.642669559
Average.,82452,83312,NEUTRAL,0.48217994
"Okay, so why am I telling you this?",84787,89000,NEUTRAL,0.702323556
"All of us here at the beginning of a new year, write these things called New Year's resolutions and then New Year's resolutions.",90937,98802,NEUTRAL,0.699320614
"Number one, make more money.",98832,100625,NEUTRAL,0.614206374
Yeah.,101137,101900,NEUTRAL,0.549144745
